,slope,corr
mW_WT.7442.9.465,0.919698136,0.994823144
mW_WT.1197.8.129,0.851737049,0.980994015
mW_WT.7433.9.463,0.70890002,0.973020079
mW_WT.7947.7.511,0.452272614,0.988205588
mW_WT.734.8.21,0.439362101,0.994676833
mW_WT.1198.7.130,0.43848921,0.942598848
mW_WT.5007.7.373,0.249491361,0.997342281
mW_WT.2787.7.306,0.223493162,0.989604629
mW_WT.1227.8.138,0.204542539,0.946895194
mW_WT.2614.11.292,0.194353351,0.846296104
mW_WT.1199.14.131,0.149469314,0.854253094
mW_WT.2518.19.270,0.146299892,0.860261725
mW_WT.1190.8.126,0.145319724,0.989126086
mW_WT.1204.17.132,0.134934509,0.812976644
mW_WT.7478.8.472,0.12373564,0.968708249
mW_WT.1024.23.60,0.121735357,0.934819515
mW_WT.1099.10.86,0.110674655,0.661132124
mW_WT.937.7.36,0.096953901,0.86127261
mW_WT.1329.11.161,0.095481253,0.956074888
mW_WT.703.20.17,0.093430472,0.989505778
mage7.1688.8.79,1.839966357,0.998427276
mage6.122.10.42,0.994792127,0.96027333
mage6.3514.9.194,0.617411082,0.878405468
mage7.1728.12.87,0.54323822,0.984879536
mage6.1539.10.125,0.539877946,0.98638184
mage6.62.30.27,0.53261721,0.98229589
mage6.826.7.90,0.512407198,0.830281905
mage7.1699.9.80,0.4909236,0.977900982
mage6.2204.9.175,0.487510544,0.96571607
mage6.1991.12.132,0.478619685,0.979244416
mage6.1003.11.108,0.454474308,0.961429098
mage6.234.9.67,0.421626414,0.963514179
mage6.2228.11.179,0.418792579,0.894973727
mage6.28.9.12,0.404189901,0.89202253
mage6.217.8.63,0.365234406,0.915102041
mage6.2028.8.136,0.342720234,0.832878882
mage6.19.7.8,0.337878213,0.76241566
mage6.12.9.6,0.31070072,0.632556152
mage7.48.12.10,0.293083146,0.793347634
mage6.973.29.107,0.287589162,0.988816211